Var,Model,Scenario,Ensemble,1981-2010,2011-2040,2041-2070,2071-2100
tas,HadGEM2-CC,RCP8.5,r1i1p1,NA,7.435015360514345,9.671916368272592,12.96407894558379
tas,HadGEM2-ES,historical/RCP2.6,r1i1p1,6.7028537326389115,NA,NA,NA
tas,HadGEM2-ES,historical/RCP4.5,r1i1p1,6.581773206922766,NA,NA,NA
tas,HadGEM2-ES,historical/RCP6.0,r1i1p1,6.777647738986568,NA,NA,NA
tas,HadGEM2-ES,historical/RCP8.5,r1i1p1,6.711302524142818,NA,NA,NA
tas,HadGEM2-ES,RCP2.6,r1i1p1,NA,8.559595065646723,9.478608364529103,9.227754905007124
tas,HadGEM2-ES,RCP4.5,r1i1p1,NA,8.535975646972679,10.371096971299936,11.315585373387215
tas,HadGEM2-ES,RCP8.5,r1i1p1,NA,8.612287394205753,10.950085449218772,13.783721738873128
tas,inmcm4,historical/RCP4.5,r1i1p1,7.1117991977268025,NA,NA,NA
tas,inmcm4,historical/RCP8.5,r1i1p1,7.097490268283443,NA,NA,NA
tas,inmcm4,RCP4.5,r1i1p1,NA,7.585881805419945,8.168689558241125,8.8519352383084
tas,inmcm4,RCP8.5,r1i1p1,NA,7.947992706298851,9.042981974283878,10.556968519422766
tas,IPSL-CM5A-LR,historical/RCP2.6,r1i1p1,7.278157891167558,NA,NA,NA
tas,IPSL-CM5A-LR,historical/RCP4.5,r1i1p1,7.367016347249372,NA,NA,NA
tas,IPSL-CM5A-LR,historical/RCP6.0,r1i1p1,7.302734968397376,NA,NA,NA
tas,IPSL-CM5A-LR,historical/RCP8.5,r1i1p1,7.230192226833791,NA,NA,NA
tas,IPSL-CM5A-LR,RCP2.6,r1i1p1,NA,8.335886806911915,8.857742987738739,8.621885850694467
tas,IPSL-CM5A-LR,RCP4.5,r1i1p1,NA,8.626166025797549,9.442429690890865,10.207444593641515
tas,IPSL-CM5A-LR,RCP6.0,r1i1p1,NA,7.935359700520856,9.160138193766299,10.1286445617676
tas,IPSL-CM5A-LR,RCP8.5,r1i1p1,NA,8.49268001980254,10.434224277072506,12.55927666558162
tas,IPSL-CM5A-MR,historical/RCP2.6,r1i1p1,9.277658420138911,NA,NA,NA
tas,IPSL-CM5A-MR,historical/RCP4.5,r1i1p1,9.261775122748503,NA,NA,NA
tas,IPSL-CM5A-MR,historical/RCP6.0,r1i1p1,9.309258778889996,NA,NA,NA
tas,IPSL-CM5A-MR,historical/RCP8.5,r1i1p1,9.300311364067948,NA,NA,NA
tas,IPSL-CM5A-MR,RCP2.6,r1i1p1,NA,10.381429121229406,11.049581231011308,10.772730000813825
tas,IPSL-CM5A-MR,RCP4.5,r1i1p1,NA,10.545575120713998,11.46921310424807,11.85399610731339
tas,IPSL-CM5A-MR,RCP6.0,r1i1p1,NA,10.385254838731576,11.205762142605275,12.394788445366776
tas,IPSL-CM5A-MR,RCP8.5,r1i1p1,NA,10.579839579264346,12.306080627441428,14.390345001220727
tas,IPSL-CM5B-LR,historical/RCP4.5,r1i1p1,6.202057902018252,NA,NA,NA
tas,IPSL-CM5B-LR,historical/RCP8.5,r1i1p1,6.204056633843339,NA,NA,NA
tas,IPSL-CM5B-LR,RCP4.5,r1i1p1,NA,7.104017554389129,8.517291853163,8.768428378635006
tas,IPSL-CM5B-LR,RCP8.5,r1i1p1,NA,7.614651828342036,9.158996836344423,11.173940446641733
tas,MIROC-ESM,historical/RCP2.6,r1i1p1,9.736292266845727,NA,NA,NA
tas,MIROC-ESM,historical/RCP4.5,r1i1p1,9.797156524658226,NA,NA,NA
tas,MIROC-ESM,historical/RCP6.0,r1i1p1,9.70500920613609,NA,NA,NA
